time,value
2022-10-05T06:55:11.341Z,46
2022-10-05T06:55:12.949Z,0
2022-10-05T06:55:15.948Z,45
2022-10-05T06:55:17.558Z,0
2022-10-05T06:55:27.586Z,23
2022-10-05T06:55:29.412Z,28
2022-10-05T06:55:31.278Z,41
2022-10-05T06:55:33.108Z,50
2022-10-05T06:55:34.947Z,60
2022-10-05T06:55:36.794Z,65
2022-10-05T06:55:38.63Z,68
2022-10-05T06:55:40.452Z,84
2022-10-05T06:55:42.334Z,83
2022-10-05T06:55:44.186Z,90
2022-10-05T06:55:46.059Z,89
2022-10-05T06:55:47.881Z,92
2022-10-05T06:55:51.123Z,95
2022-10-05T06:55:54.641Z,97
2022-10-05T06:55:56.506Z,96
2022-10-05T06:55:58.358Z,98
2022-10-05T06:56:11.128Z,9
2022-10-05T06:56:12.729Z,0
2022-10-05T06:56:20.368Z,78
2022-10-05T06:56:25.224Z,39
2022-10-05T06:56:27.071Z,50
2022-10-05T06:56:28.93Z,2
2022-10-05T06:56:30.537Z,0
2022-10-05T06:56:41.56Z,13
2022-10-05T06:56:43.384Z,41
2022-10-05T06:56:45.232Z,31
2022-10-05T06:56:47.088Z,9
2022-10-05T06:56:48.732Z,0
2022-10-05T06:56:56.665Z,60
2022-10-05T06:56:58.525Z,50
2022-10-05T06:57:00.413Z,51
2022-10-05T06:57:02.255Z,53
2022-10-05T06:57:04.101Z,59
2022-10-05T06:57:05.931Z,78
2022-10-05T06:57:07.784Z,14
2022-10-05T06:57:09.704Z,35
2022-10-05T06:57:11.48Z,38
2022-10-05T06:57:13.327Z,25
2022-10-05T06:57:15.181Z,75
2022-10-05T06:57:16.999Z,38
2022-10-05T06:57:18.845Z,17
2022-10-05T06:57:20.69Z,29
2022-10-05T06:57:22.555Z,30
2022-10-05T06:57:24.48Z,0
2022-10-05T06:57:47.939Z,39
2022-10-05T06:57:49.771Z,44
2022-10-05T06:57:51.62Z,42
2022-10-05T06:57:53.452Z,40
2022-10-05T06:57:55.594Z,39
2022-10-05T06:57:57.417Z,53
2022-10-05T06:57:59.26Z,60
2022-10-05T06:58:03.844Z,61
2022-10-05T06:58:07.509Z,46
2022-10-05T06:58:09.361Z,67
2022-10-05T06:58:11.196Z,78
2022-10-05T06:58:14.408Z,77
2022-10-05T06:58:16.046Z,0
2022-10-05T06:58:20.596Z,78
2022-10-05T06:58:22.437Z,86
2022-10-05T06:58:27.361Z,87
2022-10-05T06:58:29.233Z,89
2022-10-05T06:58:34.307Z,2
2022-10-05T06:58:35.986Z,0
2022-10-05T06:58:41.206Z,80
2022-10-05T06:58:43.034Z,95
2022-10-05T06:58:44.859Z,96
2022-10-05T06:58:48.02Z,95
2022-10-05T06:58:49.825Z,96
2022-10-05T06:58:51.654Z,98
2022-10-05T06:58:54.823Z,91
2022-10-05T06:58:56.967Z,5
2022-10-05T06:58:58.558Z,0
2022-10-05T06:59:00.382Z,79
2022-10-05T06:59:02.194Z,86
2022-10-05T06:59:05.389Z,85
2022-10-05T06:59:07.252Z,84
2022-10-05T06:59:09.07Z,85
2022-10-05T06:59:15.013Z,6
2022-10-05T06:59:16.643Z,0
2022-10-05T06:59:18.483Z,39
2022-10-05T06:59:20.105Z,0
2022-10-05T06:59:22.699Z,81
2022-10-05T06:59:24.553Z,86
2022-10-05T06:59:26.378Z,87
2022-10-05T06:59:29.849Z,88
2022-10-05T06:59:31.718Z,89
2022-10-05T06:59:33.546Z,95
2022-10-05T06:59:38.615Z,88
2022-10-05T06:59:43.206Z,89
2022-10-05T06:59:45.062Z,95
2022-10-05T06:59:46.875Z,98
2022-10-05T06:59:48.753Z,3
2022-10-05T06:59:50.39Z,0
2022-10-05T06:59:53.845Z,2
2022-10-05T07:00:01.494Z,1
2022-10-05T07:00:13.185Z,0
2022-10-05T07:00:15.025Z,55
2022-10-05T07:00:16.662Z,0
2022-10-05T07:02:08.982Z,33
2022-10-05T07:02:10.585Z,0
2022-10-05T07:02:15.893Z,76
2022-10-05T07:02:17.764Z,80
2022-10-05T07:02:19.595Z,87
2022-10-05T07:02:24.173Z,86
2022-10-05T07:02:25.995Z,68
2022-10-05T07:02:27.853Z,70
2022-10-05T07:02:29.459Z,0
2022-10-05T07:02:38.51Z,8
2022-10-05T07:02:40.334Z,57
2022-10-05T07:02:41.981Z,0
2022-10-05T07:02:43.799Z,29
2022-10-05T07:02:45.661Z,72
2022-10-05T07:02:47.497Z,71
2022-10-05T07:02:49.367Z,56
2022-10-05T07:02:51.193Z,54
2022-10-05T07:02:54.89Z,41
2022-10-05T07:02:56.741Z,39
2022-10-05T07:02:58.577Z,2
2022-10-05T07:03:00.217Z,0
2022-10-05T07:03:06.907Z,96
2022-10-05T07:03:08.764Z,98
2022-10-05T07:03:11.994Z,99
2022-10-05T07:03:19.722Z,24
2022-10-05T07:03:21.576Z,9
2022-10-05T07:03:23.418Z,11
2022-10-05T07:03:35.381Z,12
2022-10-05T07:03:40.06Z,11
2022-10-05T07:03:43.332Z,12
2022-10-05T07:03:45.198Z,11
2022-10-05T07:05:34.287Z,60
2022-10-05T07:05:36.448Z,9
2022-10-05T07:05:42.456Z,10
2022-10-05T07:06:07.894Z,11
2022-10-05T07:06:09.46Z,10
2022-10-05T07:06:25.17Z,11
2022-10-05T07:06:27.036Z,10
2022-10-05T07:06:31.666Z,11
2022-10-05T07:06:33.536Z,10
2022-10-05T07:06:43.01Z,11
2022-10-05T07:06:49.001Z,10
2022-10-05T07:06:50.871Z,11
2022-10-05T07:06:54.129Z,10
2022-10-05T07:07:14.312Z,11
2022-10-05T07:07:16.152Z,10
2022-10-05T07:09:28.182Z,9
2022-10-05T07:09:29.955Z,10
2022-10-05T07:09:31.807Z,9
2022-10-05T07:09:33.651Z,10
2022-10-05T07:09:35.482Z,9
2022-10-05T07:09:37.299Z,10
2022-10-05T07:09:39.144Z,9
2022-10-05T07:09:49.384Z,10
2022-10-05T07:09:51.257Z,9
2022-10-05T07:09:54.457Z,10
2022-10-05T07:09:56.308Z,9
2022-10-05T07:09:57.94Z,0
2022-10-05T07:09:59.778Z,98
2022-10-05T07:10:01.636Z,100
2022-10-05T07:12:35.036Z,8
2022-10-05T07:12:36.847Z,2
2022-10-05T07:12:40.029Z,5
2022-10-05T07:12:43.231Z,4
2022-10-05T07:12:46.699Z,2
2022-10-05T07:12:48.515Z,5
2022-10-05T07:12:50.362Z,4
2022-10-05T07:12:53.592Z,12
2022-10-05T07:12:55.43Z,10
2022-10-05T07:12:58.651Z,11
2022-10-05T07:13:00.511Z,10
2022-10-05T07:13:13.361Z,18
2022-10-05T07:13:15.195Z,20
2022-10-05T07:13:27.666Z,4
2022-10-05T07:13:29.485Z,3
2022-10-05T07:13:31.347Z,11
2022-10-05T07:13:33.162Z,57
2022-10-05T07:13:35.016Z,24
2022-10-05T07:13:36.874Z,8
2022-10-05T07:13:38.735Z,31
2022-10-05T07:13:40.562Z,41
2022-10-05T07:13:42.421Z,46
2022-10-05T07:13:44.248Z,44
2022-10-05T07:13:46.098Z,47
2022-10-05T07:13:48.246Z,64
2022-10-05T07:13:50.1Z,65
2022-10-05T07:13:51.965Z,44
2022-10-05T07:13:53.824Z,65
2022-10-05T07:13:55.691Z,66
2022-10-05T07:13:57.304Z,0
2022-10-05T07:14:04.874Z,14
2022-10-05T07:14:06.742Z,33
2022-10-05T07:14:08.582Z,41
2022-10-05T07:14:10.426Z,50
2022-10-05T07:14:12.26Z,54
2022-10-05T07:14:13.94Z,0
2022-10-05T07:14:18.779Z,19
2022-10-05T07:14:20.613Z,51
2022-10-05T07:14:22.453Z,50
2022-10-05T07:14:25.074Z,51
2022-10-05T07:14:28.726Z,35
2022-10-05T07:14:30.347Z,0
2022-10-05T07:14:34.406Z,8
2022-10-05T07:14:36.236Z,29
2022-10-05T07:14:38.04Z,30
2022-10-05T07:15:14.519Z,31
2022-10-05T07:15:16.322Z,30
2022-10-05T07:15:18.183Z,31
2022-10-05T07:15:20.309Z,32
2022-10-05T07:15:24.906Z,31
2022-10-05T07:15:59.323Z,0
2022-10-05T07:16:07.807Z,19
2022-10-05T07:16:09.649Z,22
2022-10-05T07:16:18.436Z,72
2022-10-05T07:16:20.592Z,99
2022-10-05T07:16:29.669Z,100
2022-10-05T07:16:31.482Z,99
2022-10-05T07:16:33.316Z,100
2022-10-05T07:16:35.134Z,99
2022-10-05T07:17:10.691Z,99
2022-10-05T07:17:30.321Z,98
2022-10-05T07:17:44.587Z,97
2022-10-05T07:17:54.992Z,96
2022-10-05T07:18:00.935Z,95
2022-10-05T07:18:06.046Z,94
2022-10-05T07:18:07.942Z,95
2022-10-05T07:18:09.818Z,94
2022-10-05T07:18:18.162Z,93
2022-10-05T07:18:31.989Z,92
2022-10-05T07:18:35.23Z,93
2022-10-05T07:18:37.136Z,92
2022-10-05T07:18:48.527Z,91
2022-10-05T07:18:50.378Z,92
2022-10-05T07:18:52.563Z,90
2022-10-05T07:18:55.801Z,91
2022-10-05T07:18:57.665Z,90
2022-10-05T07:19:33.895Z,89
2022-10-05T07:19:35.806Z,90
2022-10-05T07:19:37.731Z,89
2022-10-05T07:19:39.654Z,90
2022-10-05T07:19:42.936Z,89
2022-10-05T07:19:44.816Z,90
2022-10-05T07:19:49.484Z,89
2022-10-05T07:20:03.221Z,90
2022-10-05T07:20:05.001Z,89
2022-10-05T07:20:23.661Z,88
2022-10-05T07:20:31.501Z,87
2022-10-05T07:21:14.569Z,86
2022-10-05T07:23:00.597Z,85
2022-10-05T07:23:02.441Z,86
2022-10-05T07:23:17.951Z,85
2022-10-05T07:23:19.822Z,86
2022-10-05T07:23:30.097Z,85
2022-10-05T07:23:31.978Z,86
2022-10-05T07:23:33.839Z,85
2022-10-05T07:23:35.719Z,86
2022-10-05T07:23:40.266Z,85
2022-10-05T07:23:43.488Z,86
2022-10-05T07:23:45.377Z,85
2022-10-05T07:23:48.583Z,86
2022-10-05T07:23:50.453Z,85
2022-10-05T07:23:52.328Z,86
2022-10-05T07:23:56.89Z,85
2022-10-05T07:24:03.678Z,86
2022-10-05T07:24:05.558Z,85
2022-10-05T07:24:12.293Z,86
2022-10-05T07:24:14.178Z,85
2022-10-05T07:24:16.047Z,86
2022-10-05T07:24:17.934Z,85
2022-10-05T07:24:19.792Z,86
2022-10-05T07:24:23.01Z,85
2022-10-05T07:24:24.889Z,86
2022-10-05T07:24:26.753Z,85
2022-10-05T07:24:30.288Z,86
2022-10-05T07:24:32.166Z,85
2022-10-05T07:24:34.011Z,86
2022-10-05T07:24:35.889Z,85
2022-10-05T07:24:53.215Z,86
2022-10-05T07:24:55.064Z,85
2022-10-05T07:25:17.825Z,86
2022-10-05T07:25:19.705Z,85
2022-10-05T07:25:22.949Z,86
2022-10-05T07:25:24.812Z,85
2022-10-05T07:27:48.356Z,86
2022-10-05T07:27:50.268Z,85
2022-10-05T07:30:12.64Z,84
2022-10-05T07:30:14.53Z,85
2022-10-05T07:30:24.246Z,97
2022-10-05T07:30:26.097Z,100
2022-10-05T07:30:58.44Z,99
2022-10-05T07:31:00.337Z,100
2022-10-05T07:31:02.21Z,99
2022-10-05T07:31:04.142Z,100
2022-10-05T07:31:06.026Z,99
2022-10-05T07:31:07.946Z,100
2022-10-05T07:31:11.552Z,99
2022-10-05T07:31:19.569Z,100
2022-10-05T07:31:21.462Z,99
