time,value
2022-10-04T09:43:02.99Z,42
2022-10-04T09:43:04.88Z,42.099998474121094
2022-10-04T09:43:45.061Z,42.099998474121094
2022-10-04T09:43:49.213Z,42.5
2022-10-04T09:43:57.821Z,42.599998474121094
2022-10-04T09:44:06.272Z,42.70000076293945
2022-10-04T09:44:12.895Z,42.79999923706055
2022-10-04T09:44:16.081Z,42.900001525878906
2022-10-04T09:44:19.569Z,43
2022-10-04T09:44:25.579Z,43.099998474121094
2022-10-04T09:44:32.73Z,43.20000076293945
2022-10-04T09:44:35.892Z,43.29999923706055
2022-10-04T09:44:42.44Z,43.400001525878906
2022-10-04T09:44:48.963Z,43.5
2022-10-04T09:44:51.182Z,43.599998474121094
2022-10-04T09:44:57.217Z,43.70000076293945
2022-10-04T09:45:07.074Z,43.79999923706055
2022-10-04T09:45:21.823Z,43.900001525878906
2022-10-04T09:45:29.849Z,44
2022-10-04T09:45:31.843Z,44.099998474121094
2022-10-04T09:45:38.333Z,44.20000076293945
2022-10-04T09:45:48.836Z,44.29999923706055
2022-10-04T09:46:02.179Z,44.400001525878906
2022-10-04T09:46:16.954Z,44.5
2022-10-04T09:46:33.599Z,44.599998474121094
2022-10-04T09:46:38.815Z,44.70000076293945
2022-10-04T09:46:41.709Z,44.599998474121094
2022-10-04T09:46:44.429Z,44.70000076293945
2022-10-04T09:46:49.556Z,44.79999923706055
2022-10-04T09:46:59.638Z,44.900001525878906
2022-10-04T09:47:04.819Z,45
2022-10-04T09:47:12.973Z,45.099998474121094
2022-10-04T09:47:15.87Z,45.20000076293945
2022-10-04T09:47:23.696Z,45.29999923706055
2022-10-04T09:47:28.884Z,45.400001525878906
2022-10-04T09:47:33.994Z,45.5
2022-10-04T09:47:58.28Z,45.599998474121094
2022-10-04T09:48:13.15Z,45.70000076293945
2022-10-04T09:48:24.955Z,45.599998474121094
2022-10-04T09:48:32.812Z,45.5
2022-10-04T09:48:43.577Z,45.400001525878906
2022-10-04T09:48:48.643Z,45.29999923706055
2022-10-04T09:48:51.413Z,45.400001525878906
2022-10-04T09:48:54.303Z,45.29999923706055
2022-10-04T09:48:57.388Z,45.20000076293945
2022-10-04T09:49:00.282Z,45.099998474121094
2022-10-04T09:49:05.472Z,44.900001525878906
2022-10-04T09:49:08.324Z,44.79999923706055
2022-10-04T09:49:11.163Z,44.599998474121094
2022-10-04T09:49:13.985Z,44.400001525878906
2022-10-04T09:49:16.749Z,44.20000076293945
2022-10-04T09:49:19.675Z,44.099998474121094
2022-10-04T09:49:22.624Z,43.900001525878906
2022-10-04T09:49:25.319Z,43.70000076293945
2022-10-04T09:49:28.395Z,43.5
2022-10-04T09:49:31.22Z,43.400001525878906
2022-10-04T09:49:34.027Z,43.20000076293945
2022-10-04T09:49:36.848Z,43.099998474121094
2022-10-04T09:49:39.685Z,42.900001525878906
2022-10-04T09:49:42.575Z,42.79999923706055
2022-10-04T09:49:45.348Z,42.599998474121094
2022-10-04T09:49:48.118Z,42.5
2022-10-04T09:49:50.856Z,42.400001525878906
2022-10-04T09:49:53.772Z,42.29999923706055
2022-10-05T06:35:43.515Z,31.299999237060547
2022-10-05T06:35:45.44Z,31.399999618530273
2022-10-05T06:39:36.1Z,31.5
2022-10-05T06:39:44.678Z,31.399999618530273
